year,site_name,province,latitude,longitude,river_name,fishing_area,CGNDB,avg_air_temp_arrival,avg_water_temp_shore,avg_water_depth,species_eng,species_fra,species_latin,tsn,specimens_measured,avg_length_mm,length_type
2003,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,10.024,11.863,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,2,,fork
2003,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,10.024,11.863,,Lamprey (non specific),lamproies (non spécifique),,159697,16,,fork
2003,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,10.024,11.863,,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,963,,fork
2003,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,10.024,11.863,,Rainbow smelt,éperlan arc-en-ciel,Osmerus mordax,162043,1018,,fork
2003,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,10.024,11.863,,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,1,,fork
2003,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,10.024,11.863,,Stickleback (non specific),épinoches (non spécifique),,166363,1284,,fork
2003,Butters-RST,New Brunswick,47.9867,-66.8023,Restigouche River,SFA15,DACGO,10.024,11.863,,Suckers (non specific),catostomes (non spécifique),,163892,743,,fork
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Alewife,gaspareau,Alosa pseudoharengus,161706,2,,fork
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,American eel,anguille d'Amérique,Anguilla rostrata,161127,153,277.02,total
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Atlantic salmon,saumon atlantique,Salmo salar,161996,3892,71.499,fork
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Banded killifish,fondule barré,Fundulus diaphanus,165646,4,,fork
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,31,,fork
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,2,,fork
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Lamprey (non specific),lamproies (non spécifique),,159697,11,,fork
2003,Moses-RST,New Brunswick,47.9971,-66.8159,Restigouche River,SFA15,DACGO,11.359,11.876,,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,137,,fork
