L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'air à l'arrivée,Température moyenne de l'eau sur le rivage,Profondeur moyenne de l'eau (m),Durée totale de fonctionnement (h),Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Alewife,gaspareau,Alosa pseudoharengus,161706,5,258.800,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,58,305.818,total
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,4433,75.709,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,164,,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,50,45.700,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Common shiner,méné à nageoires rouges,Notropis cornutus,163836,1,103.000,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,27,,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Northern redbelly dace,ventre rouge du nord,Chrosomus eos,163592,4,,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,460,,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,8,,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Stickleback (non specific),épinoches (non spécifique),,166363,39,,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Suckers (non specific),catostomes (non spécifique),,163892,48,38.700,fork
2006,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.986,9.880,,3039.0,Yellow perch,perchaude,Perca flavescens,168469,2,58.000,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,54,335.189,total
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,5035,84.300,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,103,,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,5,125.600,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,11,,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,Lake chub,méné de lac,Couesius plumbeus,163535,4,,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,Longnose sucker,meunier rouge,Catostomus catostomus,163894,1,,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,591,,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,24,,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,23,,fork
2007,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.339,9.829,,4284.0,White sucker,meunier noir,Catostomus commersoni,553273,33,,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,104,332.442,total
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,2290,86.261,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,40,,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,10,100.700,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,Finescale dace,ventre citron,Chrosomus neogaeus,163594,130,,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,Gaspereau,gaspareau,Alosa,161701,5,243.000,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,Lake chub,méné de lac,Couesius plumbeus,163535,2,,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,Sea Lamprey,lamproie marine,Petromyzon marinus,159722,1307,,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,52,,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,three-spined stickleback,épinoche à trois épines,Gasterosteus aculeatus,166365,14,,fork
2008,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,11.129,9.626,,2514.0,White sucker,meunier noir,Catostomus commersoni,553273,20,,fork
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,American eel,anguille d'Amérique,Anguilla rostrata,161127,31,397.207,total
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,Atlantic salmon,saumon atlantique,Salmo salar,161996,3549,90.101,fork
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,52,,fork
2009,Kedgwick-RST,New Brunswick,47.6711,-67.5098,Kedgwick River,SFA15,DALLK,10.781,8.781,,3475.0,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,13,126.833,fork
