site,date,temp
Kouchibouguac,9.26,15.77384521
Kouchibouguac,9.26,15.80602051
Kouchibouguac,9.26,15.79529541
Kouchibouguac,9.26,15.74166992
Kouchibouguac,9.26,15.70949463
Kouchibouguac,9.26,15.68804443
Kouchibouguac,9.26,15.63441895
Kouchibouguac,9.26,15.57006836
Kouchibouguac,9.26,15.53789307
Kouchibouguac,9.26,15.54861816
Kouchibouguac,9.26,15.55934326
Kouchibouguac,9.26,15.53789307
Kouchibouguac,9.26,15.57006836
Kouchibouguac,9.26,15.59151855
Kouchibouguac,9.26,15.60224365
Kouchibouguac,9.26,15.63441895
Kouchibouguac,9.26,15.73094482
Kouchibouguac,9.26,15.77384521
Kouchibouguac,9.26,15.88109619
Kouchibouguac,9.26,15.98834717
Kouchibouguac,9.26,15.94544678
Kouchibouguac,9.26,15.8381958
Kouchibouguac,9.26,15.64514404
Kouchibouguac,9.26,15.3662915
Kouchibouguac,9.26,15.23759033
Kouchibouguac,9.26,15.23759033
Kouchibouguac,9.26,15.20541504
Kouchibouguac,9.26,15.13033936
Kouchibouguac,9.26,15.10888916
Kouchibouguac,9.26,15.01236328
Kouchibouguac,9.26,14.87293701
Kouchibouguac,9.26,14.74423584
Kouchibouguac,9.26,14.64770996
Kouchibouguac,9.26,14.4868335
Kouchibouguac,9.26,14.37958252
Kouchibouguac,9.26,14.37958252
Kouchibouguac,9.26,14.39030762
Kouchibouguac,9.26,14.42248291
Kouchibouguac,9.26,14.50828369
Kouchibouguac,9.26,14.69061035
Kouchibouguac,9.26,14.99091309
Kouchibouguac,9.26,15.60224365
Kouchibouguac,9.26,16.06342285
Kouchibouguac,9.26,16.09559814
Kouchibouguac,9.26,16.03124756
Kouchibouguac,9.26,16.07414795
Kouchibouguac,9.26,16.04197266
Kouchibouguac,9.26,16.03124756
Kouchibouguac,9.26,15.98834717
Kouchibouguac,9.26,15.96689697
Kouchibouguac,9.26,15.94544678
Maisonette,9.01,11.85918457
Maisonette,9.01,11.7412085
Maisonette,9.01,11.64468262
Maisonette,9.01,11.76265869
Maisonette,9.01,11.99861084
Maisonette,9.01,12.11658691
Maisonette,9.01,12.24528809
Maisonette,9.01,12.33108887
Maisonette,9.01,12.43833984
Maisonette,9.01,12.44906494
Maisonette,9.01,12.40616455
Maisonette,9.01,12.40616455
Maisonette,9.01,12.39543945
Maisonette,9.01,12.32036377
Maisonette,9.01,12.25601318
Maisonette,9.01,12.25601318
Maisonette,9.01,12.22383789
Maisonette,9.01,12.23456299
Maisonette,9.01,12.21311279
Maisonette,9.01,12.21311279
Maisonette,9.01,12.21311279
Maisonette,9.01,12.14876221
Maisonette,9.01,12.08441162
Maisonette,9.01,12.03078613
Maisonette,9.01,11.96643555
Maisonette,9.01,12.04151123
Maisonette,9.01,12.34181396
Maisonette,9.01,13.21054688
Maisonette,9.01,13.42504883
Maisonette,9.01,14.0256543
Maisonette,9.01,14.54045898
Maisonette,9.01,14.70133545
Maisonette,9.01,14.59408447
Maisonette,9.01,14.24015625
Maisonette,9.01,13.92912842
Maisonette,9.01,13.67172607
Maisonette,9.01,13.5752002
Maisonette,9.01,13.5644751
Maisonette,9.01,13.58592529
Maisonette,9.01,13.62882568
Maisonette,9.01,13.69317627
Maisonette,9.01,13.83260254
Maisonette,9.01,13.96130371
Maisonette,9.01,14.03637939
Maisonette,9.01,14.16508057
Maisonette,9.01,14.24015625
Maisonette,9.01,14.32595703
Maisonette,9.01,14.44393311
Maisonette,9.01,14.59408447
Maisonette,9.01,14.70133545
Maisonette,9.01,14.69061035
Maisonette,9.01,14.75496094
Maisonette,9.01,14.83003662
Maisonette,9.01,14.88366211
Maisonette,9.01,14.89438721
Maisonette,9.01,14.9480127
Maisonette,9.01,14.96946289
Maisonette,9.01,15.00163818
Maisonette,9.01,14.9480127
Maisonette,9.01,14.95873779
Maisonette,9.01,14.96946289
Maisonette,9.01,15.02308838
Maisonette,9.01,15.06598877
Maisonette,9.01,15.08743896
Maisonette,9.01,15.08743896
Maisonette,9.01,15.07671387
Maisonette,9.01,15.08743896
Maisonette,9.01,15.07671387
Maisonette,9.01,15.04453857
Maisonette,9.01,15.06598877
Maisonette,9.01,15.05526367
Maisonette,9.01,15.06598877
Maisonette,9.01,15.05526367
Maisonette,9.01,15.04453857
Maisonette,9.01,15.05526367
Maisonette,9.01,15.01236328
Maisonette,9.01,15.03381348
Maisonette,9.01,14.98018799
Maisonette,9.01,14.98018799
Maisonette,9.01,14.95873779
Maisonette,9.01,14.95873779
Maisonette,9.01,14.9480127
Maisonette,9.01,14.9158374
Maisonette,9.01,14.89438721
Maisonette,9.01,14.80858643
Maisonette,9.01,14.74423584
Maisonette,9.01,14.72278564
Maisonette,9.01,14.59408447
Maisonette,9.01,14.54045898
Maisonette,9.01,14.50828369
Maisonette,9.01,14.41175781
Maisonette,9.01,14.31523193
Maisonette,9.01,14.27233154
Maisonette,9.01,14.12218018
Maisonette,9.01,14.05782959
Maisonette,9.01,13.98275391
Maisonette,9.01,13.85405273
Maisonette,9.01,13.78970215
Maisonette,9.01,13.77897705
Maisonette,9.01,13.71462646
Maisonette,9.01,13.62882568
Maisonette,9.01,13.55375
Maisonette,9.01,13.50012451
Maisonette,9.01,13.48939941
Maisonette,9.01,13.43577393
Maisonette,9.01,13.37142334
Maisonette,9.01,13.28562256
Maisonette,9.01,13.22127197
Maisonette,9.01,13.18909668
Maisonette,9.01,13.12474609
Maisonette,9.01,13.1032959
Maisonette,9.01,13.0925708
Maisonette,9.01,13.14619629
Maisonette,9.01,13.22127197
Maisonette,9.01,13.33924805
Maisonette,9.01,13.42504883
Maisonette,9.01,13.51084961
Maisonette,9.01,13.63955078
Maisonette,9.01,13.75752686
Maisonette,9.01,13.91840332
Maisonette,9.01,14.09000488
Maisonette,9.01,14.24015625
Maisonette,9.01,14.39030762
Maisonette,9.01,14.55118408
Maisonette,9.01,14.76568604
Maisonette,9.01,14.99091309
Maisonette,9.01,15.18396484
Maisonette,9.01,15.46281738
Maisonette,9.01,15.69876953
Maisonette,9.01,15.90254639
Maisonette,9.01,16.08487305
Maisonette,9.01,16.2886499
Maisonette,9.01,16.54605225
Maisonette,9.01,16.79272949
Maisonette,9.01,16.98578125
Maisonette,9.01,17.14665771
Maisonette,9.01,17.29680908
Maisonette,9.01,17.54348633
Maisonette,9.01,17.79016357
Maisonette,9.01,17.99394043
Maisonette,9.01,18.16554199
Maisonette,9.01,18.33714355
Maisonette,9.01,18.49802002
Maisonette,9.01,18.64817139
Maisonette,9.01,18.74469727
Maisonette,9.01,18.74469727
Maisonette,9.01,18.72324707
Maisonette,9.01,18.70179688
Maisonette,9.01,18.70179688
Maisonette,9.01,18.70179688
Maisonette,9.01,18.78759766
Maisonette,9.01,18.86267334
Maisonette,9.01,18.96992432
Maisonette,9.01,18.99137451
Maisonette,9.01,19.0664502
Maisonette,9.01,18.99137451
Maisonette,9.01,19.0342749
Maisonette,9.01,19.12007568
Maisonette,9.01,18.89484863
Maisonette,9.01,18.83049805
