Specimen.ID__ID.spécimen,Sample.ID__ID.échantillon,Site__Site,Year__Année,Month__Mois,Day__Jour,Species__Espèces,Life.stage__Stade.vie,Code__Code,Adipose.condition__Condition.adipeuse,Tag.number__Numéro.d'étiquette
2735177,36792,All Pools / Tous les bassins @ Margaree River,1990,10,22,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735178,36795,All Pools / Tous les bassins @ Margaree River,1990,10,24,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735179,36795,All Pools / Tous les bassins @ Margaree River,1990,10,24,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735180,48313,All Pools / Tous les bassins @ Margaree River,1990,6,21,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735181,47788,All Pools / Tous les bassins @ Margaree River,1990,8,5,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735182,36530,All Pools / Tous les bassins @ Margaree River,1990,8,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735183,47768,All Pools / Tous les bassins @ Margaree River,1990,8,17,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735184,34088,All Pools / Tous les bassins @ Margaree River,1990,8,18,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735185,34088,All Pools / Tous les bassins @ Margaree River,1990,8,18,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735186,47862,All Pools / Tous les bassins @ Margaree River,1990,8,20,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735187,36545,All Pools / Tous les bassins @ Margaree River,1990,9,5,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735188,36545,All Pools / Tous les bassins @ Margaree River,1990,9,5,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735189,48291,All Pools / Tous les bassins @ Margaree River,1990,9,17,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735190,48263,All Pools / Tous les bassins @ Margaree River,1990,9,27,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735191,48051,All Pools / Tous les bassins @ Margaree River,1990,10,7,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735192,36824,All Pools / Tous les bassins @ Margaree River,1990,9,28,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735193,47761,All Pools / Tous les bassins @ Margaree River,1990,8,10,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735194,36826,All Pools / Tous les bassins @ Margaree River,1990,9,28,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735195,47908,All Pools / Tous les bassins @ Margaree River,1990,7,10,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735196,48238,All Pools / Tous les bassins @ Margaree River,1990,9,7,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735197,47864,All Pools / Tous les bassins @ Margaree River,1990,8,20,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735198,47926,All Pools / Tous les bassins @ Margaree River,1990,6,24,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735199,36604,All Pools / Tous les bassins @ Margaree River,1990,8,5,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735200,36604,All Pools / Tous les bassins @ Margaree River,1990,8,5,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735201,47852,All Pools / Tous les bassins @ Margaree River,1990,8,20,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735202,34505,All Pools / Tous les bassins @ Margaree River,1990,7,31,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735203,47765,All Pools / Tous les bassins @ Margaree River,1990,8,17,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735204,36601,All Pools / Tous les bassins @ Margaree River,1990,9,19,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735205,36393,All Pools / Tous les bassins @ Margaree River,1990,6,23,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735206,47767,All Pools / Tous les bassins @ Margaree River,1990,8,17,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735207,47869,All Pools / Tous les bassins @ Margaree River,1990,8,22,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735208,48288,All Pools / Tous les bassins @ Margaree River,1990,9,17,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735209,48283,All Pools / Tous les bassins @ Margaree River,1990,9,18,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735210,48310,All Pools / Tous les bassins @ Margaree River,1990,9,22,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735211,48058,All Pools / Tous les bassins @ Margaree River,1990,10,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735212,36563,All Pools / Tous les bassins @ Margaree River,1990,8,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735213,36563,All Pools / Tous les bassins @ Margaree River,1990,8,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735214,47829,All Pools / Tous les bassins @ Margaree River,1990,8,29,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735215,36715,All Pools / Tous les bassins @ Margaree River,1990,10,12,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735216,36715,All Pools / Tous les bassins @ Margaree River,1990,10,12,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735217,47893,All Pools / Tous les bassins @ Margaree River,1990,7,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735218,47999,All Pools / Tous les bassins @ Margaree River,1990,7,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735219,48156,All Pools / Tous les bassins @ Margaree River,1990,10,11,Atlantic salmon / Saumon Atlantique,salmon / saumon,RR,Present / Présent,24383
2735220,48309,All Pools / Tous les bassins @ Margaree River,1990,9,22,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735221,48280,All Pools / Tous les bassins @ Margaree River,1990,9,23,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735222,48084,All Pools / Tous les bassins @ Margaree River,1990,10,1,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735223,48031,All Pools / Tous les bassins @ Margaree River,1990,10,5,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735224,36788,All Pools / Tous les bassins @ Margaree River,1990,10,18,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735225,36788,All Pools / Tous les bassins @ Margaree River,1990,10,18,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735226,48109,All Pools / Tous les bassins @ Margaree River,1990,10,19,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735227,36796,All Pools / Tous les bassins @ Margaree River,1990,10,24,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735228,37191,All Pools / Tous les bassins @ Margaree River,1991,10,2,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735229,34179,All Pools / Tous les bassins @ Margaree River,1991,10,7,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735230,49982,All Pools / Tous les bassins @ Margaree River,1991,9,30,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735231,36389,All Pools / Tous les bassins @ Margaree River,1991,10,1,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735232,36389,All Pools / Tous les bassins @ Margaree River,1991,10,1,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735233,49724,All Pools / Tous les bassins @ Margaree River,1991,7,21,Atlantic salmon / Saumon Atlantique,salmon / saumon,RR,Present / Présent,24540
2735234,49732,All Pools / Tous les bassins @ Margaree River,1991,7,27,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735235,49519,All Pools / Tous les bassins @ Margaree River,1991,8,13,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735236,33590,All Pools / Tous les bassins @ Margaree River,1991,10,1,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735237,37157,All Pools / Tous les bassins @ Margaree River,1991,10,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735238,36458,All Pools / Tous les bassins @ Margaree River,1991,9,1,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735239,36462,All Pools / Tous les bassins @ Margaree River,1991,9,2,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735240,36435,All Pools / Tous les bassins @ Margaree River,1991,9,10,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735241,34386,All Pools / Tous les bassins @ Margaree River,1991,10,31,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735242,36798,All Pools / Tous les bassins @ Margaree River,1991,6,1,Atlantic salmon / Saumon Atlantique,salmon / saumon,RR,Present / Présent,24441
2735243,36798,All Pools / Tous les bassins @ Margaree River,1991,6,1,Atlantic salmon / Saumon Atlantique,salmon / saumon,RR,Present / Présent,24223
2735244,49478,All Pools / Tous les bassins @ Margaree River,1991,8,21,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735245,36948,All Pools / Tous les bassins @ Margaree River,1991,10,13,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735246,49722,All Pools / Tous les bassins @ Margaree River,1991,7,21,Atlantic salmon / Saumon Atlantique,salmon / saumon,RR,Present / Présent,24520
2735247,49495,All Pools / Tous les bassins @ Margaree River,1991,8,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735248,49576,All Pools / Tous les bassins @ Margaree River,1991,8,28,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735249,49940,All Pools / Tous les bassins @ Margaree River,1991,9,8,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735250,49972,All Pools / Tous les bassins @ Margaree River,1991,9,26,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735251,49616,All Pools / Tous les bassins @ Margaree River,1991,7,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735252,36323,All Pools / Tous les bassins @ Margaree River,1991,7,27,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735253,36198,All Pools / Tous les bassins @ Margaree River,1991,8,20,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735254,49932,All Pools / Tous les bassins @ Margaree River,1991,9,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735255,49892,All Pools / Tous les bassins @ Margaree River,1991,9,14,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735256,49855,All Pools / Tous les bassins @ Margaree River,1991,10,13,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735257,49893,All Pools / Tous les bassins @ Margaree River,1991,9,14,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735258,49904,All Pools / Tous les bassins @ Margaree River,1991,9,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735259,36362,All Pools / Tous les bassins @ Margaree River,1991,9,21,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735260,49965,All Pools / Tous les bassins @ Margaree River,1991,9,27,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735261,36413,All Pools / Tous les bassins @ Margaree River,1991,9,29,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735262,49784,All Pools / Tous les bassins @ Margaree River,1991,10,2,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735263,37231,All Pools / Tous les bassins @ Margaree River,1991,10,8,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735264,49706,All Pools / Tous les bassins @ Margaree River,1991,8,3,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735265,49500,All Pools / Tous les bassins @ Margaree River,1991,8,9,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735266,36180,All Pools / Tous les bassins @ Margaree River,1991,8,11,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735267,49476,All Pools / Tous les bassins @ Margaree River,1991,8,19,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735268,49489,All Pools / Tous les bassins @ Margaree River,1991,8,20,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735269,49533,All Pools / Tous les bassins @ Margaree River,1991,8,31,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735270,49559,All Pools / Tous les bassins @ Margaree River,1991,9,2,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735271,49935,All Pools / Tous les bassins @ Margaree River,1991,9,6,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735272,49942,All Pools / Tous les bassins @ Margaree River,1991,9,12,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735273,36474,All Pools / Tous les bassins @ Margaree River,1991,9,15,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735274,36478,All Pools / Tous les bassins @ Margaree River,1991,9,16,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735275,49998,All Pools / Tous les bassins @ Margaree River,1991,9,22,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735276,49966,All Pools / Tous les bassins @ Margaree River,1991,9,27,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735277,49963,All Pools / Tous les bassins @ Margaree River,1991,9,28,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735278,36409,All Pools / Tous les bassins @ Margaree River,1991,9,29,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735279,36409,All Pools / Tous les bassins @ Margaree River,1991,9,29,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735280,36377,All Pools / Tous les bassins @ Margaree River,1991,10,1,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735281,36377,All Pools / Tous les bassins @ Margaree River,1991,10,1,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735282,37193,All Pools / Tous les bassins @ Margaree River,1991,10,2,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735283,49776,All Pools / Tous les bassins @ Margaree River,1991,10,7,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
2735284,49766,All Pools / Tous les bassins @ Margaree River,1991,10,9,Atlantic salmon / Saumon Atlantique,salmon / saumon,R,Present / Présent,
