sampleID,Year,eventDate,recordedBy,decimalLatitude,decimalLongitude,occurrenceStatus,color
r20:2433,2020,2020-08-20,ARM,46.49565,-66.95817,Inconclusive,grey
r20:2425,2020,2020-08-20,ARM,46.49801,-66.98654,Inconclusive,grey
r20:2507,2020,2020-08-20,ARM,46.50753,-66.94977,Suspected,orange
r20:2511,2020,2020-08-20,ARM,46.49411,-67.0101,Not detected,green
r20:2434,2020,2020-08-20,ARM,46.49565,-66.95817,Inconclusive,grey
r20:2438,2020,2020-08-20,ARM,46.49565,-66.93987,Suspected,orange
r20:2437,2020,2020-08-20,ARM,46.49565,-66.93987,Suspected,orange
r20:2430,2020,2020-08-20,ARM,46.49891,-66.95677,Suspected,orange
r20:2432,2020,2020-08-20,ARM,46.49565,-66.95817,Not detected,green
r20:2440,2020,2020-08-20,ARM,46.50753,-66.94977,Suspected,orange
r20:2422,2020,2020-08-20,ARM,46.50335,-66.9651,Not detected,green
r20:2509,2020,2020-08-20,ARM,46.49411,-67.0101,Inconclusive,grey
r20:2428,2020,2020-08-20,ARM,46.49891,-66.95677,Suspected,orange
r20:2424,2020,2020-08-20,ARM,46.49801,-66.98654,Not detected,green
r20:2436,2020,2020-08-20,ARM,46.49565,-66.93987,Inconclusive,grey
r20:2510,2020,2020-08-20,ARM,46.49411,-67.0101,Not detected,green
r20:2427,2020,2020-08-20,ARM,46.49891,-66.95677,Suspected,orange
r20:2205,2020,2020-08-26,DFO Gulf,46.53503,-66.88127,Inconclusive,grey
r20:2187,2020,2020-08-26,DFO Gulf,46.50753,-66.94977,Suspected,orange
r20:2189,2020,2020-08-26,DFO Gulf,46.50753,-66.94977,Suspected,orange
r20:2211,2020,2020-08-26,DFO Gulf,46.52128,-67.33706,Not detected,green
r20:2191,2020,2020-08-26,DFO Gulf,46.54391,-66.85485,Inconclusive,grey
r20:2210,2020,2020-08-26,DFO Gulf,46.52097,-67.33674,Not detected,green
r20:2216,2020,2020-08-26,DFO Gulf,46.51053,-67.1137,Not detected,green
r20:2213,2020,2020-08-26,DFO Gulf,46.52128,-67.33706,Not detected,green
r20:2212,2020,2020-08-26,DFO Gulf,46.52128,-67.33706,Not detected,green
r20:2214,2020,2020-08-26,DFO Gulf,46.51053,-67.1137,Not detected,green
r20:2217,2020,2020-08-26,DFO Gulf,46.51053,-67.1137,Not detected,green
r20:2207,2020,2020-08-26,DFO Gulf,46.52097,-67.33674,Not detected,green
r20:2194,2020,2020-08-26,DFO Gulf,46.55547,-66.84771,Not detected,green
r20:2193,2020,2020-08-26,DFO Gulf,46.54391,-66.85485,Not detected,green
r20:2188,2020,2020-08-26,DFO Gulf,46.50753,-66.94977,Suspected,orange
r20:2196,2020,2020-08-26,DFO Gulf,46.55547,-66.84771,Not detected,green
r20:2209,2020,2020-08-26,DFO Gulf,46.52097,-67.33674,Not detected,green
r20:2200,2020,2020-08-26,DFO Gulf,46.55547,-66.84771,Not detected,green
r20:2198,2020,2020-08-26,DFO Gulf,46.56257,-66.832,Not detected,green
r20:2202,2020,2020-08-26,DFO Gulf,46.56257,-66.832,Not detected,green
r20:2190,2020,2020-08-26,DFO Gulf,46.54391,-66.85485,Not detected,green
r20:2203,2020,2020-08-26,DFO Gulf,46.56257,-66.832,Not detected,green
r20:2206,2020,2020-08-26,DFO Gulf,46.53503,-66.88127,Not detected,green
r20:2204,2020,2020-08-26,DFO Gulf,46.53503,-66.88127,Inconclusive,grey
r20:2525,2020,2020-09-01,DFO Gulf,46.50753,-66.94977,Suspected,orange
r20:2513,2020,2020-09-01,DFO Gulf,46.58102,-66.75007,Not detected,green
r20:2526,2020,2020-09-01,DFO Gulf,46.50753,-66.94977,Not detected,green
r20:2531,2020,2020-09-01,DFO Gulf,46.51053,-67.1137,Not detected,green
r20:2529,2020,2020-09-01,DFO Gulf,46.51053,-67.1137,Not detected,green
r20:2530,2020,2020-09-01,DFO Gulf,46.51053,-67.1137,Not detected,green
r20:2517,2020,2020-09-01,DFO Gulf,46.5737,-66.81342,Not detected,green
r20:2516,2020,2020-09-01,DFO Gulf,46.5737,-66.81342,Not detected,green
r20:2515,2020,2020-09-01,DFO Gulf,46.58102,-66.75007,Not detected,green
r20:2514,2020,2020-09-01,DFO Gulf,46.58102,-66.75007,Not detected,green
r20:2527,2020,2020-09-01,DFO Gulf,46.50753,-66.94977,Suspected,orange
r20:2519,2020,2020-09-01,DFO Gulf,46.5737,-66.81342,Not detected,green
r20:2598,2020,2020-09-02,DFO Gulf,46.73431,-65.82416,Not detected,green
r20:2579,2020,2020-09-02,DFO Gulf,46.56006,-66.55818,Not detected,green
r20:2580,2020,2020-09-02,DFO Gulf,46.56006,-66.55818,Not detected,green
r20:2575,2020,2020-09-02,DFO Gulf,46.48188,-66.47978,Not detected,green
r20:2582,2020,2020-09-02,DFO Gulf,46.60063,-66.63863,Not detected,green
r20:2593,2020,2020-09-02,DFO Gulf,46.56064,-66.1221,Not detected,green
r20:2581,2020,2020-09-02,DFO Gulf,46.56006,-66.55818,Not detected,green
r20:2591,2020,2020-09-02,DFO Gulf,46.56064,-66.1221,Not detected,green
r20:2586,2020,2020-09-02,DFO Gulf,46.58554,-66.70118,Not detected,green
r20:2541,2020,2020-09-02,DFO Gulf,46.48188,-66.47978,Not detected,green
r20:2540,2020,2020-09-02,DFO Gulf,46.48188,-66.47978,Not detected,green
r20:2595,2020,2020-09-02,DFO Gulf,46.61789,-65.87861,Not detected,green
r20:2594,2020,2020-09-02,DFO Gulf,46.61789,-65.87861,Not detected,green
r20:2538,2020,2020-09-02,DFO Gulf,46.45406,-66.42301,Not detected,green
r20:2592,2020,2020-09-02,DFO Gulf,46.56064,-66.1221,Inconclusive,grey
r20:2636,2020,2020-09-02,DFO Gulf,46.73844,-65.82952,Not detected,green
r20:2601,2020,2020-09-02,DFO Gulf,46.73844,-65.82952,Not detected,green
r20:2576,2020,2020-09-02,DFO Gulf,46.51649,-66.51611,Not detected,green
r20:2597,2020,2020-09-02,DFO Gulf,46.73431,-65.82416,Not detected,green
r20:2578,2020,2020-09-02,DFO Gulf,46.51649,-66.51611,Not detected,green
r20:2577,2020,2020-09-02,DFO Gulf,46.51649,-66.51611,Not detected,green
r20:2585,2020,2020-09-02,DFO Gulf,46.60063,-66.63863,Not detected,green
r20:2600,2020,2020-09-02,DFO Gulf,46.73431,-65.82416,Not detected,green
r20:2589,2020,2020-09-02,DFO Gulf,46.58554,-66.70118,Not detected,green
r20:2539,2020,2020-09-02,DFO Gulf,46.45406,-66.42301,Not detected,green
r20:2635,2020,2020-09-02,DFO Gulf,46.73844,-65.82952,Not detected,green
r20:2596,2020,2020-09-02,DFO Gulf,46.61789,-65.87861,Not detected,green
r20:2537,2020,2020-09-02,DFO Gulf,46.45406,-66.42301,Not detected,green
r20:2584,2020,2020-09-02,DFO Gulf,46.60063,-66.63863,Not detected,green
r20:2587,2020,2020-09-02,DFO Gulf,46.58554,-66.70118,Inconclusive,grey
r20:2651,2020,2020-09-10,DFO Gulf,46.51906,-66.94672,Suspected,orange
r20:2652,2020,2020-09-10,DFO Gulf,46.51906,-66.94672,Suspected,orange
r20:2640,2020,2020-09-10,DFO Gulf,46.53503,-66.88127,Not detected,green
r20:2655,2020,2020-09-10,DFO Gulf,46.5172,-66.94911,Suspected,orange
r20:2642,2020,2020-09-10,DFO Gulf,46.51838,-66.92639,Inconclusive,grey
r20:2648,2020,2020-09-10,DFO Gulf,46.51664,-66.9504,Not detected,green
r20:2647,2020,2020-09-10,DFO Gulf,46.51664,-66.9504,Not detected,green
r20:2645,2020,2020-09-10,DFO Gulf,46.51664,-66.9504,Not detected,green
r20:2644,2020,2020-09-10,DFO Gulf,46.51838,-66.92639,Not detected,green
r20:2641,2020,2020-09-10,DFO Gulf,46.51838,-66.92639,Not detected,green
r20:2638,2020,2020-09-10,DFO Gulf,46.53503,-66.88127,Not detected,green
r20:2657,2020,2020-09-10,DFO Gulf,46.51599,-66.9491,Suspected,orange
r20:2653,2020,2020-09-10,DFO Gulf,46.5172,-66.94911,Not detected,green
r20:2649,2020,2020-09-10,DFO Gulf,46.51906,-66.94672,Not detected,green
r20:2661,2020,2020-09-10,DFO Gulf,46.50753,-66.94977,Inconclusive,grey
r20:2658,2020,2020-09-10,DFO Gulf,46.51599,-66.9491,Suspected,orange
r20:2659,2020,2020-09-10,DFO Gulf,46.51599,-66.9491,Suspected,orange
r20:2660,2020,2020-09-10,DFO Gulf,46.50753,-66.94977,Suspected,orange
r20:2639,2020,2020-09-10,DFO Gulf,46.53503,-66.88127,Inconclusive,grey
r20:2654,2020,2020-09-10,DFO Gulf,46.5172,-66.94911,Suspected,orange
r20:2663,2020,2020-09-10,DFO Gulf,46.50753,-66.94977,Suspected,orange
r20:2857,2020,2020-09-21,DFO Gulf,46.859,-65.44416,Not detected,green
r20:2859,2020,2020-09-21,DFO Gulf,46.859,-65.44416,Not detected,green
r20:3008,2020,2020-09-21,DFO Gulf,46.93532,-65.78738,Not detected,green
r20:3003,2020,2020-09-21,DFO Gulf,46.87626,-65.66438,Not detected,green
r20:3007,2020,2020-09-21,DFO Gulf,46.87562,-65.66363,Not detected,green
r20:3005,2020,2020-09-21,DFO Gulf,46.87562,-65.66363,Not detected,green
r20:3004,2020,2020-09-21,DFO Gulf,46.87626,-65.66438,Not detected,green
r20:3001,2020,2020-09-21,DFO Gulf,46.87695,-65.66472,Not detected,green
r20:2847,2020,2020-09-21,DFO Gulf,46.81524,-65.79379,Not detected,green
r20:3010,2020,2020-09-21,DFO Gulf,46.9345,-65.78671,Not detected,green
r20:2835,2020,2020-09-21,DFO Gulf,46.73844,-65.82952,Not detected,green
r20:2999,2020,2020-09-21,DFO Gulf,46.80176,-65.45304,Not detected,green
r20:2856,2020,2020-09-21,DFO Gulf,46.88523,-65.51533,Not detected,green
r20:3014,2020,2020-09-21,DFO Gulf,46.93371,-65.78579,Not detected,green
r20:3011,2020,2020-09-21,DFO Gulf,46.9345,-65.78671,Not detected,green
r20:3013,2020,2020-09-21,DFO Gulf,46.93371,-65.78579,Not detected,green
r20:2832,2020,2020-09-21,DFO Gulf,46.73431,-65.82416,Inconclusive,grey
r20:3009,2020,2020-09-21,DFO Gulf,46.93532,-65.78738,Not detected,green
r20:2855,2020,2020-09-21,DFO Gulf,46.88523,-65.51533,Not detected,green
r20:2836,2020,2020-09-21,DFO Gulf,46.73844,-65.82952,Not detected,green
r20:2853,2020,2020-09-21,DFO Gulf,46.82956,-65.78744,Not detected,green
r20:2844,2020,2020-09-21,DFO Gulf,46.82914,-65.95141,Not detected,green
r20:2854,2020,2020-09-21,DFO Gulf,46.88523,-65.51533,Not detected,green
r20:2838,2020,2020-09-21,DFO Gulf,46.81429,-65.91673,Not detected,green
r20:2840,2020,2020-09-21,DFO Gulf,46.81429,-65.91673,Not detected,green
r20:2841,2020,2020-09-21,DFO Gulf,46.81429,-65.91673,Not detected,green
r20:2842,2020,2020-09-21,DFO Gulf,46.82914,-65.95141,Not detected,green
r20:2843,2020,2020-09-21,DFO Gulf,46.82914,-65.95141,Not detected,green
r20:3002,2020,2020-09-21,DFO Gulf,46.87695,-65.66472,Not detected,green
r20:2848,2020,2020-09-21,DFO Gulf,46.81524,-65.79379,Not detected,green
r20:2850,2020,2020-09-21,DFO Gulf,46.81524,-65.79379,Not detected,green
r20:2860,2020,2020-09-21,DFO Gulf,46.859,-65.44416,Not detected,green
r20:2828,2020,2020-09-21,DFO Gulf,46.56064,-66.1221,Not detected,green
r20:2852,2020,2020-09-21,DFO Gulf,46.82956,-65.78744,Not detected,green
r20:3000,2020,2020-09-21,DFO Gulf,46.80176,-65.45304,Not detected,green
r20:2833,2020,2020-09-21,DFO Gulf,46.73431,-65.82416,Not detected,green
r20:2862,2020,2020-09-21,DFO Gulf,46.80176,-65.45304,Not detected,green
r20:2851,2020,2020-09-21,DFO Gulf,46.82956,-65.78744,Not detected,green
r20:2837,2020,2020-09-21,DFO Gulf,46.73844,-65.82952,Not detected,green
r20:2831,2020,2020-09-21,DFO Gulf,46.56064,-66.1221,Not detected,green
