Latitude,Longitude,Site de l'échantillon,ID de l'échantillon,Année,Date de l'événement,Enregistré par,Statut de l'événement,Couleur (cartographie)
46.49976,-66.95794,Site 2,"r21:3088, r21:3089, r21:3090",2021,2021-07-19,DFO Gulf,Suspecté,orange
46.50327,-66.96548,"Site 2, Site 1","r21:3097, r21:3096, r21:3098",2021,2021-07-19,DFO Gulf,Non détecté,green
46.50257,-66.96341,Site 54,"r21:3093, r21:3094, r21:3092",2021,2021-07-19,DFO Gulf,Non détecté,green
46.50981,-67.08282,Site 30,"r21:3082, r21:3081, r21:3080",2021,2021-07-19,DFO Gulf,Non détecté,green
46.5797,-66.75891,Site 18A,"r21:3068, r21:3069, r21:3070, r22:2357, r22:2358, r22:2359","2021, 2022","2021-07-19, 2022-07-20",DFO Gulf,Suspecté,orange
46.83822,-65.748,Site 59,"r21:3191, r21:3189, r21:3190",2021,2021-07-20,DFO Gulf,Non détecté,green
46.83605,-65.76528,Site 58,"r21:3185, r21:3186, r21:3187",2021,2021-07-20,DFO Gulf,Non détecté,green
46.47623,-66.96195,Site 64,"r21:3209, r21:3210, r21:3211",2021,2021-07-20,ASF,Suspecté,orange
46.71168,-65.81432,Site 55,"r21:3104, r21:3105, r21:3106, r22:2297, r22:2298, r22:2296","2021, 2022","2021-07-20, 2022-07-15",DFO Gulf,Non concluant,grey
46.70361,-65.79745,Site 56,"r21:3107, r21:3108, r21:3109, r22:2305, r22:2304, r22:2303","2021, 2022","2021-07-20, 2022-07-15",DFO Gulf,Non détecté,green
46.75384,-65.81673,Site 57,"r21:3167, r21:3118, r21:3168, r22:2314, r22:2313, r22:2315, r22:2316","2021, 2022","2021-07-20, 2022-07-15",DFO Gulf,Non détecté,green
46.54727,-66.15685,Site 62,"r21:3248, r21:3249, r21:3250, r22:2288, r22:2286, r22:2285","2021, 2022","2021-07-28, 2022-07-13",DFO Gulf,Détecté,red
46.4573,-66.45112,Site 60,"r21:3240, r21:3241, r21:3242",2021,2021-07-28,DFO Gulf,Non détecté,green
46.46809,-66.40372,Site 61,"r21:3244, r21:3245, r21:3247",2021,2021-07-28,DFO Gulf,Non détecté,green
46.55625,-66.13745,Site 63,"r21:3252, r21:3253, r21:3254, r22:2290, r22:2292, r22:2291","2021, 2022","2021-07-28, 2022-07-15",DFO Gulf,Non détecté,green
46.58444,-66.71226,Site 19A,"r21:3235, r21:3233, r21:3234, r22:2276, r22:2277, r22:2275","2021, 2022","2021-07-28, 2022-07-13",DFO Gulf,Non détecté,green
46.59647,-66.65959,Site 20A,"r22:2280, r22:2278, r22:2279",2022,2022-07-13,DFO Gulf,Non concluant,grey
46.72013,-65.81649,Site 65,"r22:2301, r22:2299, r22:2300",2022,2022-07-15,DFO Gulf,Non détecté,green
