L'année,Nom du site,Province,Latitude,Longitude,Nom de la rivière,Zone de pêche,ONGC,Température moyenne de l'eau sur le rivage,Nom commun en anglais,Nom commun en français,Nom scientifique,ITIS TSN,Spécimens mesurés,Longueur moyenne (mm),Type de longueur
2021,23,Nova Scotia,46.330867,-61.000767,Lake O'Law Brook,SFA18,,16.100,Atlantic salmon,saumon atlantique,Salmo salar,161996,84,87.652,fork
2021,23,Nova Scotia,46.330867,-61.000767,Lake O'Law Brook,SFA18,,16.100,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,29,73.483,fork
2021,23,Nova Scotia,46.330867,-61.000767,Lake O'Law Brook,SFA18,,16.100,Brown trout,truite brune,Salmo trutta,161997,3,64.000,fork
2021,23,New Brunswick,47.571750,-66.535400,Southeast Upsalquitch River,SFA15,DAIOF,19.800,Atlantic salmon,saumon atlantique,Salmo salar,161996,34,54.941,fork
2021,23,New Brunswick,47.571750,-66.535400,Southeast Upsalquitch River,SFA15,DAIOF,19.800,Slimy sculpin,chabot visqueux,Cottus cognatus,167232,10,,fork
2021,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,,Atlantic salmon,saumon atlantique,Salmo salar,161996,89,82.125,fork
2021,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,12,54.750,fork
2021,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,75.000,fork
2021,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,,Lake chub,méné de lac,Couesius plumbeus,163535,1,80.000,fork
2021,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,,Mottled sculpin,chabot tacheté,Cottus bairdii,167237,8,55.125,fork
2021,23,New Brunswick,46.938000,-65.821000,Sutherland Brook,SFA16,DASFO,,Suckers (non specific),catostomes (non spécifique),,163892,7,83.429,fork
2021,24,New Brunswick,47.659433,-66.546483,LittleSoutheast Upsalquitch River,SFA15,DAQHI,15.850,Atlantic salmon,saumon atlantique,Salmo salar,161996,89,59.100,fork
2021,24,New Brunswick,47.659433,-66.546483,LittleSoutheast Upsalquitch River,SFA15,DAQHI,15.850,Blacknose dace,naseux noir,Rhinichthys atratulus,163382,12,45.500,fork
2021,24,New Brunswick,47.659433,-66.546483,LittleSoutheast Upsalquitch River,SFA15,DAQHI,15.850,Brook trout,omble de fontaine,Salvelinus fontinalis,162003,2,113.000,fork
