Sample_ID__Numéro_échantillon,Year__Année,Month__Mois,Day__Jour,Port_landed__Port_de_débarquement,Port_code,Port_latitude,Port_longitude,Fishing_area__Zone_de_pêche,Mesh_size_mm__Maillage_mm,21.0 cm ,21.5 cm ,22.0 cm ,22.5 cm ,23.0 cm ,23.5 cm ,24.0 cm ,24.5 cm ,25.0 cm ,25.5 cm ,26.0 cm ,26.5 cm ,27.0 cm ,27.5 cm ,28.0 cm ,28.5 cm ,29.0 cm ,29.5 cm ,30.0 cm ,30.5 cm ,31.0 cm ,31.5 cm ,32.0 cm ,32.5 cm ,33.0 cm ,33.5 cm ,34.0 cm ,34.5 cm ,35.0 cm ,35.5 cm ,36.0 cm ,36.5 cm ,37.0 cm ,37.5 cm ,38.0 cm ,38.5 cm ,39.0 cm ,39.5 cm ,40.0 cm ,40.5 cm ,41.0 cm ,41.5 cm ,42.0 cm ,42.5 cm ,43.0 cm ,43.5 cm ,44.0 cm ,44.5 cm ,45.0 cm ,45.5 cm ,46.0 cm ,46.5 cm ,47.0 cm ,47.5 cm ,48.0 cm 
43178,1998,9,15,LISMORE,11202,45.70600111,-62.27030041,4TH,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,5,1,3,2,3,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43179,1998,9,15,LISMORE,11202,45.70600111,-62.27030041,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,2,1,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43180,1998,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,51,0,0,0,0,0,0,0,0,0,3,1,3,3,6,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43421,1998,5,4,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,9,5,5,12,7,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43422,1998,5,4,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,11,14,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44879,1998,9,22,TONEY RIVER,11113,45.7716,-62.8906,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,11,5,22,14,12,12,12,5,7,3,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45709,1998,6,19,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,38,0,0,0,1,1,1,4,1,1,0,2,0,5,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45710,1998,6,19,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,57,0,0,0,0,0,0,0,0,0,0,0,2,1,7,10,14,18,24,19,40,31,21,18,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45711,1998,6,19,CAISSIE'S CAPE,27703,46.31340252,-64.51069647,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,13,33,25,20,22,9,13,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45714,1998,9,11,TONEY RIVER,11113,45.7716,-62.8906,4TH,38,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45715,1998,9,11,TONEY RIVER,11113,45.7716,-62.8906,4TH,57,0,0,0,0,0,0,0,0,0,1,2,7,15,24,67,59,39,25,17,16,16,9,8,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45716,1998,9,11,TONEY RIVER,11113,45.7716,-62.8906,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,6,5,6,13,11,10,10,2,4,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45717,1998,9,15,LISMORE,11202,45.70600111,-62.27030041,4TH,57,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,3,1,2,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45718,1998,9,15,LISMORE,11202,45.70600111,-62.27030041,4TH,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45719,1998,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,57,0,0,0,0,0,0,0,0,1,0,0,2,2,5,9,4,15,5,8,6,4,6,10,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45722,1998,9,22,TONEY RIVER,11113,45.7716,-62.8906,4TH,51,0,0,0,0,0,0,2,2,11,17,25,42,53,44,58,43,22,17,4,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45723,1998,9,22,TONEY RIVER,11113,45.7716,-62.8906,4TH,64,0,0,0,0,0,0,0,0,0,0,0,1,1,2,6,14,18,21,15,25,21,15,19,19,24,12,7,6,2,1,5,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46292,1998,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,10,4,5,3,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40868,1999,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40869,1999,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,64,0,0,0,0,0,0,0,0,0,0,0,4,12,24,50,42,20,15,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40870,1999,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,3,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40871,1999,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,51,0,0,0,0,0,1,1,4,1,4,7,12,25,30,30,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40872,1999,9,21,LISMORE,11202,45.70600111,-62.27030041,4TH,57,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8,19,15,17,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40873,1999,9,23,TONEY RIVER,11113,45.7716,-62.8906,4TH,64,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,11,19,25,8,8,4,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
