river_rivière,age_âge,year_année,latitude_latitude,longitude_longitude,n_n,mean fork length_longueur moyenne à la fourche
LaHave River,2,1983,44.53333,-64.71667,73,716.4246575
Middle Brook,1,1983,48.794529,-54.291912,29,512.2413793
Miramichi River,1,1983,46.93316907,-65.65078752,214,519.6028037
Miramichi River,2,1983,46.93316907,-65.65078752,63,715.968254
Northeast River,1,1983,47.270081,-53.837846,22,520.6818182
Saint John River,1,1983,45.95542,-66.607509,335,555.2835821
Saint John River,2,1983,45.95542,-66.607509,156,770.5769231
Sand Hill River,1,1983,53.581429,-56.35112,10,551.7
Terra Nova River,1,1983,48.66762,-54.002506,100,512.85
Torrent River,1,1983,50.612932,-57.168795,16,530.0625
Western Arm Brook,1,1983,51.190752,-56.753424,180,512.9055556
Exploits River,1,1984,49.088976,-55.354689,13,508.3076923
Gander River,1,1984,49.260019,-54.499243,106,512.6132075
LaHave River,1,1984,44.53333,-64.71667,28,536.5714286
LaHave River,2,1984,44.53333,-64.71667,109,708.1009174
Middle Brook,1,1984,48.794529,-54.291912,143,493.6713287
Miramichi River,1,1984,46.93316907,-65.65078752,238,518.5084034
Miramichi River,2,1984,46.93316907,-65.65078752,85,714.9176471
Northeast River,1,1984,47.270081,-53.837846,26,518.2692308
Saint John River,1,1984,45.95542,-66.607509,595,559.9411765
Saint John River,2,1984,45.95542,-66.607509,257,777.7042802
Terra Nova River,1,1984,48.66762,-54.002506,103,495.1553398
Western Arm Brook,1,1984,51.190752,-56.753424,111,512.045045
Exploits River,1,1985,49.088976,-55.354689,592,533.3766892
Gander River,1,1985,49.260019,-54.499243,108,511.0925926
LaHave River,1,1985,44.53333,-64.71667,196,533.0714286
LaHave River,2,1985,44.53333,-64.71667,329,707.0486322
Middle Brook,1,1985,48.794529,-54.291912,108,494.5
Miramichi River,1,1985,46.93316907,-65.65078752,170,516.9529412
Miramichi River,2,1985,46.93316907,-65.65078752,134,720.5074627
Northeast River,1,1985,47.270081,-53.837846,47,516.4468085
Saint John River,1,1985,45.95542,-66.607509,518,558.5521236
Saint John River,2,1985,45.95542,-66.607509,877,759.5667047
Terra Nova River,1,1985,48.66762,-54.002506,125,504.512
Torrent River,1,1985,50.612932,-57.168795,147,521.6530612
Western Arm Brook,1,1985,51.190752,-56.753424,81,522.4444444
Conne River,1,1986,47.868005,-55.705978,358,505.603352
Exploits River,1,1986,49.088976,-55.354689,299,529.1237458
Gander River,1,1986,49.260019,-54.499243,45,517.8
LaHave River,1,1986,44.53333,-64.71667,254,562.5629921
LaHave River,2,1986,44.53333,-64.71667,270,727.8925926
Middle Brook,1,1986,48.794529,-54.291912,45,512.3777778
Miramichi River,1,1986,46.93316907,-65.65078752,289,563.2560554
Miramichi River,2,1986,46.93316907,-65.65078752,189,750.8148148
Northeast River,1,1986,47.270081,-53.837846,67,530.1791045
Saint John River,1,1986,45.95542,-66.607509,633,576.8562401
Saint John River,2,1986,45.95542,-66.607509,529,772.3818526
Terra Nova River,1,1986,48.66762,-54.002506,194,509.628866
Torrent River,1,1986,50.612932,-57.168795,290,521.7068966
Western Arm Brook,1,1986,51.190752,-56.753424,38,529.3157895
Conne River,1,1987,47.868005,-55.705978,372,509.1021505
Gander River,1,1987,49.260019,-54.499243,19,506.0526316
LaHave River,1,1987,44.53333,-64.71667,501,549.0878244
LaHave River,2,1987,44.53333,-64.71667,229,731.7030568
Middle Brook,1,1987,48.794529,-54.291912,16,493.3125
Miramichi River,1,1987,46.93316907,-65.65078752,309,525.6634304
Miramichi River,2,1987,46.93316907,-65.65078752,51,758.8039216
Saint John River,1,1987,45.95542,-66.607509,518,584.8648649
Saint John River,2,1987,45.95542,-66.607509,533,782.7579737
Terra Nova River,1,1987,48.66762,-54.002506,277,503.5198556
Torrent River,1,1987,50.612932,-57.168795,289,518.1176471
Western Arm Brook,1,1987,51.190752,-56.753424,81,539.1111111
Conne River,1,1988,47.868005,-55.705978,794,503.9521411
Gander River,1,1988,49.260019,-54.499243,39,526.5897436
Middle Brook,1,1988,48.794529,-54.291912,47,492.5106383
Miramichi River,1,1988,46.93316907,-65.65078752,330,544.3818182
Miramichi River,2,1988,46.93316907,-65.65078752,200,751.84
Northeast River,1,1988,47.270081,-53.837846,41,525.8536585
Saint John River,1,1988,45.95542,-66.607509,794,586.7758186
Saint John River,2,1988,45.95542,-66.607509,326,763.9877301
Terra Nova River,1,1988,48.66762,-54.002506,349,513.1002865
Torrent River,1,1988,50.612932,-57.168795,196,530.505102
Western Arm Brook,1,1988,51.190752,-56.753424,77,536.4805195
Conne River,1,1989,47.868005,-55.705978,140,512.1785714
Gander River,1,1989,49.260019,-54.499243,161,525.4347826
LaHave River,1,1989,44.53333,-64.71667,805,542.6484472
LaHave River,2,1989,44.53333,-64.71667,229,708.7772926
Middle Brook,1,1989,48.794529,-54.291912,11,506.3636364
Miramichi River,1,1989,46.93316907,-65.65078752,285,534.277193
Miramichi River,2,1989,46.93316907,-65.65078752,136,747.9117647
Northeast River,1,1989,47.270081,-53.837846,23,533.6956522
Saint John River,1,1989,45.95542,-66.607509,829,593.7032569
Saint John River,2,1989,45.95542,-66.607509,552,782.4818841
Terra Nova River,1,1989,48.66762,-54.002506,300,517.6566667
Torrent River,1,1989,50.612932,-57.168795,93,533.2473118
Western Arm Brook,1,1989,51.190752,-56.753424,140,536.3
Conne River,1,1990,47.868005,-55.705978,174,508.3390805
Gander River,1,1990,49.260019,-54.499243,231,537.8874459
Harry's River,1,1990,48.507227,-58.506807,11,553.1818182
Middle Brook,1,1990,48.794529,-54.291912,12,521.25
Miramichi River,1,1990,46.93316907,-65.65078752,252,551.1190476
Miramichi River,2,1990,46.93316907,-65.65078752,241,749.7966805
Northeast River,1,1990,47.270081,-53.837846,47,544.3191489
Rocky River,1,1990,47.225684,-53.564593,17,564.2941176
Saint John River,1,1990,45.95542,-66.607509,599,586.7445743
Saint John River,2,1990,45.95542,-66.607509,482,772.3858921
Terra Nova River,1,1990,48.66762,-54.002506,42,518.5714286
Torrent River,1,1990,50.612932,-57.168795,37,538.7297297
Western Arm Brook,1,1990,51.190752,-56.753424,47,555.9574468
Conne River,1,1991,47.868005,-55.705978,39,514.2564103
Gander River,1,1991,49.260019,-54.499243,141,528.6453901
LaHave River,1,1991,44.53333,-64.71667,214,542.3364486
LaHave River,2,1991,44.53333,-64.71667,154,714.4935065
Middle Brook,1,1991,48.794529,-54.291912,10,527.9
Miramichi River,1,1991,46.93316907,-65.65078752,128,537.3828125
