river_rivière,age_âge,year_année,latitude_latitude,longitude_longitude,n_n,mean fork length_longueur moyenne à la fourche
Saint John River,1,2005,45.95542,-66.607509,429,579.4871795
Saint John River,2,2005,45.95542,-66.607509,107,768.2242991
Sand Hill River,1,2005,53.581429,-56.35112,227,562.9515419
Sand Hill River,2,2005,53.581429,-56.35112,31,754.4193548
Terra Nova River,1,2005,48.66762,-54.002506,18,512.0555556
Torrent River,1,2005,50.612932,-57.168795,27,563
Western Arm Brook,1,2005,51.190752,-56.753424,77,561.7532468
Conne River,1,2006,47.868005,-55.705978,145,515.6965517
English River,1,2006,54.962884,-59.762211,296,533.7162162
Exploits River,1,2006,49.088976,-55.354689,11,527.3636364
Gander River,1,2006,49.260019,-54.499243,73,554.4794521
Harry's River,1,2006,48.507227,-58.506807,47,533.5531915
LaHave River,1,2006,44.53333,-64.71667,358,532.349162
LaHave River,2,2006,44.53333,-64.71667,62,732.5645161
Miramichi River,1,2006,46.93316907,-65.65078752,2580,564.2003876
Miramichi River,2,2006,46.93316907,-65.65078752,618,779.9546926
Nashwaak River,1,2006,46.117667,-66.589062,199,579.1758794
Nashwaak River,2,2006,46.117667,-66.589062,99,794.2626263
Rocky River,1,2006,47.225684,-53.564593,36,553.0555556
Saint John River,1,2006,45.95542,-66.607509,456,573.0701754
Saint John River,2,2006,45.95542,-66.607509,158,779.3037975
Sand Hill River,1,2006,53.581429,-56.35112,302,570.8410596
Sand Hill River,2,2006,53.581429,-56.35112,25,748.6
Western Arm Brook,1,2006,51.190752,-56.753424,53,549.8113208
Conne River,1,2007,47.868005,-55.705978,149,508.7919463
English River,1,2007,54.962884,-59.762211,251,544
Exploits River,1,2007,49.088976,-55.354689,41,527.4390244
Gander River,1,2007,49.260019,-54.499243,37,570.0540541
Harry's River,1,2007,48.507227,-58.506807,56,507.3571429
LaHave River,1,2007,44.53333,-64.71667,330,521.5969697
LaHave River,2,2007,44.53333,-64.71667,32,724.34375
Miramichi River,1,2007,46.93316907,-65.65078752,1824,552.3218202
Miramichi River,2,2007,46.93316907,-65.65078752,535,758.9271028
Nashwaak River,1,2007,46.117667,-66.589062,118,582.1694915
Nashwaak River,2,2007,46.117667,-66.589062,65,780.4
Rocky River,1,2007,47.225684,-53.564593,40,552.5
Saint John River,1,2007,45.95542,-66.607509,141,563.5106383
Saint John River,2,2007,45.95542,-66.607509,101,753.2178218
Sand Hill River,1,2007,53.581429,-56.35112,153,563.4379085
Sand Hill River,2,2007,53.581429,-56.35112,14,744
Western Arm Brook,1,2007,51.190752,-56.753424,76,552.7763158
Conne River,1,2008,47.868005,-55.705978,171,514.0994152
English River,1,2008,54.962884,-59.762211,222,528.4684685
Exploits River,1,2008,49.088976,-55.354689,52,539.8076923
Gander River,1,2008,49.260019,-54.499243,222,559.009009
Harry's River,1,2008,48.507227,-58.506807,62,522.9193548
LaHave River,1,2008,44.53333,-64.71667,591,551.4585448
LaHave River,2,2008,44.53333,-64.71667,87,721.9770115
Middle Brook,1,2008,48.794529,-54.291912,30,556.1666667
Miramichi River,1,2008,46.93316907,-65.65078752,1621,561.8383714
Miramichi River,2,2008,46.93316907,-65.65078752,224,760.7946429
Nashwaak River,1,2008,46.117667,-66.589062,291,586.9862543
Nashwaak River,2,2008,46.117667,-66.589062,63,775.1746032
Rocky River,1,2008,47.225684,-53.564593,49,552.4285714
Saint John River,1,2008,45.95542,-66.607509,458,575.0873362
Saint John River,2,2008,45.95542,-66.607509,93,756.7741935
Sand Hill River,1,2008,53.581429,-56.35112,133,559.4962406
Sand Hill River,2,2008,53.581429,-56.35112,42,765.7142857
Western Arm Brook,1,2008,51.190752,-56.753424,55,548.7090909
Conne River,1,2009,47.868005,-55.705978,134,510.7089552
English River,1,2009,54.962884,-59.762211,192,529.4270833
Exploits River,1,2009,49.088976,-55.354689,45,521.8444444
Gander River,1,2009,49.260019,-54.499243,137,558.5693431
Harry's River,1,2009,48.507227,-58.506807,49,515.6326531
LaHave River,1,2009,44.53333,-64.71667,165,533.0545455
LaHave River,2,2009,44.53333,-64.71667,44,724.9545455
Middle Brook,1,2009,48.794529,-54.291912,38,533.6578947
Miramichi River,1,2009,46.93316907,-65.65078752,921,555.7535288
Miramichi River,2,2009,46.93316907,-65.65078752,437,756.6132723
Nashwaak River,1,2009,46.117667,-66.589062,124,571.0806452
Nashwaak River,2,2009,46.117667,-66.589062,169,777.8579882
Rocky River,1,2009,47.225684,-53.564593,50,542.38
Saint John River,1,2009,45.95542,-66.607509,232,579.2025862
Saint John River,2,2009,45.95542,-66.607509,238,770.8823529
Sand Hill River,1,2009,53.581429,-56.35112,181,561.5801105
Sand Hill River,2,2009,53.581429,-56.35112,41,729.7560976
Western Arm Brook,1,2009,51.190752,-56.753424,53,550.5660377
Conne River,1,2010,47.868005,-55.705978,116,514.2241379
English River,1,2010,54.962884,-59.762211,190,540.8947368
Exploits River,1,2010,49.088976,-55.354689,61,532.0491803
Gander River,1,2010,49.260019,-54.499243,13,571.5384615
Harry's River,1,2010,48.507227,-58.506807,48,529.1875
LaHave River,1,2010,44.53333,-64.71667,291,542.6701031
LaHave River,2,2010,44.53333,-64.71667,46,725.6304348
Middle Brook,1,2010,48.794529,-54.291912,56,565.4464286
Miramichi River,1,2010,46.93316907,-65.65078752,2485,560.5219316
Miramichi River,2,2010,46.93316907,-65.65078752,587,760.7632027
Nashwaak River,1,2010,46.117667,-66.589062,352,582.1392045
Nashwaak River,2,2010,46.117667,-66.589062,88,771.1931818
Rocky River,1,2010,47.225684,-53.564593,59,564.7966102
Saint John River,1,2010,45.95542,-66.607509,329,580.1519757
Saint John River,2,2010,45.95542,-66.607509,140,767.0714286
Sand Hill River,1,2010,53.581429,-56.35112,157,577.3630573
Sand Hill River,2,2010,53.581429,-56.35112,11,734.5454545
Western Arm Brook,1,2010,51.190752,-56.753424,64,560
Conne River,1,2011,47.868005,-55.705978,129,514.1472868
English River,1,2011,54.962884,-59.762211,198,549.4444444
Exploits River,1,2011,49.088976,-55.354689,201,548.7810945
LaHave River,1,2011,44.53333,-64.71667,292,550.6164384
LaHave River,2,2011,44.53333,-64.71667,71,733.056338
Middle Brook,1,2011,48.794529,-54.291912,24,566.3333333
Miramichi River,1,2011,46.93316907,-65.65078752,2044,565.2847358
Miramichi River,2,2011,46.93316907,-65.65078752,888,780.6081081
Nashwaak River,1,2011,46.117667,-66.589062,196,583.1581633
Nashwaak River,2,2011,46.117667,-66.589062,152,797.2631579
Rocky River,1,2011,47.225684,-53.564593,50,557.08
Saint John River,1,2011,45.95542,-66.607509,130,580.3076923
Saint John River,2,2011,45.95542,-66.607509,81,770.3703704
Sand Hill River,1,2011,53.581429,-56.35112,27,570.7407407
Terra Nova River,1,2011,48.66762,-54.002506,26,548.8461538
Western Arm Brook,1,2011,51.190752,-56.753424,79,550.0506329
Conne River,1,2012,47.868005,-55.705978,161,512.4223602
English River,1,2012,54.962884,-59.762211,145,528.4482759
Exploits River,1,2012,49.088976,-55.354689,219,527.56621
Gander River,1,2012,49.260019,-54.499243,30,548.7666667
LaHave River,1,2012,44.53333,-64.71667,29,544.862069
LaHave River,2,2012,44.53333,-64.71667,30,721.5333333
Middle Brook,1,2012,48.794529,-54.291912,28,551.0357143
Miramichi River,1,2012,46.93316907,-65.65078752,669,538.1704036
Miramichi River,2,2012,46.93316907,-65.65078752,478,764.9288703
Nashwaak River,2,2012,46.117667,-66.589062,23,763.3043478
Rocky River,1,2012,47.225684,-53.564593,39,549.6923077
Saint John River,1,2012,45.95542,-66.607509,14,567.1428571
Saint John River,2,2012,45.95542,-66.607509,35,762.5714286
Sand Hill River,1,2012,53.581429,-56.35112,74,560.7297297
Sand Hill River,2,2012,53.581429,-56.35112,16,756.25
Western Arm Brook,1,2012,51.190752,-56.753424,31,547.7419355
Conne River,1,2013,47.868005,-55.705978,202,521.8811881
English River,1,2013,54.962884,-59.762211,42,555
Exploits River,1,2013,49.088976,-55.354689,291,534.9553265
Gander River,1,2013,49.260019,-54.499243,16,566.375
Harry's River,1,2013,48.507227,-58.506807,57,535.0175439
LaHave River,1,2013,44.53333,-64.71667,75,552.3066667
LaHave River,2,2013,44.53333,-64.71667,107,736.2616822
Middle Brook,1,2013,48.794529,-54.291912,23,554.5652174
Miramichi River,1,2013,46.93316907,-65.65078752,809,561.8046972
Miramichi River,2,2013,46.93316907,-65.65078752,396,756.0252525
Nashwaak River,1,2013,46.117667,-66.589062,32,588.375
Nashwaak River,2,2013,46.117667,-66.589062,18,761
Rocky River,1,2013,47.225684,-53.564593,21,552.3333333
Saint John River,1,2013,45.95542,-66.607509,50,590.8
Saint John River,2,2013,45.95542,-66.607509,54,759.2592593
Sand Hill River,1,2013,53.581429,-56.35112,121,573.9669421
Sand Hill River,2,2013,53.581429,-56.35112,39,761.7948718
Western Arm Brook,1,2013,51.190752,-56.753424,54,562.6296296
Conne River,1,2014,47.868005,-55.705978,117,504.4102564
English River,1,2014,54.962884,-59.762211,60,528.5
Exploits River,1,2014,49.088976,-55.354689,229,537.8733624
Harry's River,1,2014,48.507227,-58.506807,64,520.90625
LaHave River,1,2014,44.53333,-64.71667,43,534.6511628
LaHave River,2,2014,44.53333,-64.71667,21,734.4285714
Miramichi River,1,2014,46.93316907,-65.65078752,747,558.6171352
Miramichi River,2,2014,46.93316907,-65.65078752,437,776.3707094
Nashwaak River,1,2014,46.117667,-66.589062,22,579.8636364
Rocky River,1,2014,47.225684,-53.564593,28,549.4285714
Saint John River,1,2014,45.95542,-66.607509,34,571.1764706
Saint John River,2,2014,45.95542,-66.607509,20,769.5
Sand Hill River,1,2014,53.581429,-56.35112,148,555.1689189
Sand Hill River,2,2014,53.581429,-56.35112,15,755.6666667
Terra Nova River,1,2014,48.66762,-54.002506,58,543.2758621
Western Arm Brook,1,2014,51.190752,-56.753424,89,557.6292135
Conne River,1,2015,47.868005,-55.705978,132,504.6969697
English River,1,2015,54.962884,-59.762211,52,532.6923077
Exploits River,1,2015,49.088976,-55.354689,157,528.133758
Harry's River,1,2015,48.507227,-58.506807,17,563.5294118
LaHave River,1,2015,44.53333,-64.71667,159,536.6603774
LaHave River,2,2015,44.53333,-64.71667,17,723.7058824
Middle Brook,1,2015,48.794529,-54.291912,35,553.1428571
Miramichi River,1,2015,46.93316907,-65.65078752,2565,550.0838207
Miramichi River,2,2015,46.93316907,-65.65078752,424,762.2193396
Nashwaak River,1,2015,46.117667,-66.589062,96,561.5625
Nashwaak River,2,2015,46.117667,-66.589062,23,779.3043478
Northeast River,1,2015,47.270081,-53.837846,30,540.5666667
Saint John River,1,2015,45.95542,-66.607509,206,564.4174757
Saint John River,2,2015,45.95542,-66.607509,39,779.2307692
Sand Hill River,1,2015,53.581429,-56.35112,183,573.9344262
Sand Hill River,2,2015,53.581429,-56.35112,33,772.1212121
Terra Nova River,1,2015,48.66762,-54.002506,70,542.2857143
Western Arm Brook,1,2015,51.190752,-56.753424,65,560.5846154
Conne River,1,2016,47.868005,-55.705978,149,498.7852349
English River,1,2016,54.962884,-59.762211,12,543.3333333
Exploits River,1,2016,49.088976,-55.354689,212,528.75
LaHave River,1,2016,44.53333,-64.71667,23,550.0869565
LaHave River,2,2016,44.53333,-64.71667,45,711.6
Middle Brook,1,2016,48.794529,-54.291912,27,548.5555556
Miramichi River,1,2016,46.93316907,-65.65078752,1335,553.9745318
Miramichi River,2,2016,46.93316907,-65.65078752,697,758.4476327
Nashwaak River,1,2016,46.117667,-66.589062,132,569.8939394
Nashwaak River,2,2016,46.117667,-66.589062,43,763.4418605
Northeast River,1,2016,47.270081,-53.837846,65,535.4
Rocky River,1,2016,47.225684,-53.564593,14,543.1428571
Saint John River,1,2016,45.95542,-66.607509,91,552.967033
Saint John River,2,2016,45.95542,-66.607509,30,774.6666667
Sand Hill River,1,2016,53.581429,-56.35112,114,559.8245614
Sand Hill River,2,2016,53.581429,-56.35112,52,754.4230769
Terra Nova River,1,2016,48.66762,-54.002506,51,529.9215686
Western Arm Brook,1,2016,51.190752,-56.753424,57,553.0350877
Conne River,1,2017,47.868005,-55.705978,24,513.3333333
English River,1,2017,54.962884,-59.762211,37,532.4324324
Exploits River,1,2017,49.088976,-55.354689,121,527.2809917
Gander River,1,2017,49.260019,-54.499243,22,547.9090909
LaHave River,1,2017,44.53333,-64.71667,192,541.875
LaHave River,2,2017,44.53333,-64.71667,23,734.8695652
Middle Brook,1,2017,48.794529,-54.291912,47,544.1276596
Miramichi River,1,2017,46.93316907,-65.65078752,1777,553.9904333
Miramichi River,2,2017,46.93316907,-65.65078752,799,772.0250313
Nashwaak River,1,2017,46.117667,-66.589062,40,575.25
Nashwaak River,2,2017,46.117667,-66.589062,27,788.6296296
Northeast River,1,2017,47.270081,-53.837846,24,532.7916667
Rocky River,1,2017,47.225684,-53.564593,54,557.8888889
Saint John River,1,2017,45.95542,-66.607509,62,571.7741935
Saint John River,2,2017,45.95542,-66.607509,38,788.1578947
Sand Hill River,1,2017,53.581429,-56.35112,177,559.180791
Sand Hill River,2,2017,53.581429,-56.35112,23,746.0869565
Terra Nova River,1,2017,48.66762,-54.002506,71,533.943662
Western Arm Brook,1,2017,51.190752,-56.753424,57,556.2807018
Conne River,1,2018,47.868005,-55.705978,53,504.8113208
English River,1,2018,54.962884,-59.762211,116,529.9137931
Exploits River,1,2018,49.088976,-55.354689,129,530.1860465
LaHave River,2,2018,44.53333,-64.71667,10,725.6
Middle Brook,1,2018,48.794529,-54.291912,14,535.7142857
Miramichi River,1,2018,46.93316907,-65.65078752,791,536.9608091
Miramichi River,2,2018,46.93316907,-65.65078752,704,761.2329545
Nashwaak River,1,2018,46.117667,-66.589062,33,558.6060606
Nashwaak River,2,2018,46.117667,-66.589062,19,768.1578947
Northeast River,1,2018,47.270081,-53.837846,50,528.82
Rocky River,1,2018,47.225684,-53.564593,47,539.893617
Saint John River,1,2018,45.95542,-66.607509,76,551.7105263
Saint John River,2,2018,45.95542,-66.607509,15,758
Sand Hill River,1,2018,53.581429,-56.35112,216,557.962963
Sand Hill River,2,2018,53.581429,-56.35112,34,755.5882353
Terra Nova River,1,2018,48.66762,-54.002506,29,520.2068966
Western Arm Brook,1,2018,51.190752,-56.753424,118,539.0762712
Conne River,1,2019,47.868005,-55.705978,67,502.3134328
English River,1,2019,54.962884,-59.762211,100,524
Exploits River,1,2019,49.088976,-55.354689,116,527.5431034
LaHave River,1,2019,44.53333,-64.71667,138,544
Miramichi River,1,2019,46.93316907,-65.65078752,706,542.0552408
Miramichi River,2,2019,46.93316907,-65.65078752,166,750.1385542
Nashwaak River,1,2019,46.117667,-66.589062,63,556.7777778
Nashwaak River,2,2019,46.117667,-66.589062,30,772.3666667
Northeast River,1,2019,47.270081,-53.837846,21,539.1904762
Rocky River,1,2019,47.225684,-53.564593,76,548.1184211
Saint John River,1,2019,45.95542,-66.607509,53,547.5471698
Saint John River,2,2019,45.95542,-66.607509,38,775.5263158
Sand Hill River,1,2019,53.581429,-56.35112,105,570.4285714
Sand Hill River,2,2019,53.581429,-56.35112,139,752.8776978
Terra Nova River,1,2019,48.66762,-54.002506,22,527.7272727
Western Arm Brook,1,2019,51.190752,-56.753424,41,560.2439024
Conne River,1,2020,47.868005,-55.705978,21,515.7142857
Exploits River,1,2020,49.088976,-55.354689,188,528.356383
Middle Brook,1,2020,48.794529,-54.291912,12,542.5
Miramichi River,1,2020,46.93316907,-65.65078752,158,561.3037975
Miramichi River,2,2020,46.93316907,-65.65078752,176,779.9204545
Terra Nova River,1,2020,48.66762,-54.002506,21,532.8571429
Western Arm Brook,1,2020,51.190752,-56.753424,91,559.6923077
Gander River,1,2021,49.260019,-54.499243,16,541.5625
LaHave River,1,2021,44.53333,-64.71667,153,545.8235294
LaHave River,2,2021,44.53333,-64.71667,17,729.2352941
Middle Brook,1,2021,48.794529,-54.291912,20,534.05
Miramichi River,1,2021,46.93316907,-65.65078752,1209,544.4119107
Miramichi River,2,2021,46.93316907,-65.65078752,329,760.1458967
Nashwaak River,1,2021,46.117667,-66.589062,51,579.8431373
Nashwaak River,2,2021,46.117667,-66.589062,13,784.0769231
Terra Nova River,1,2021,48.66762,-54.002506,49,522.244898
Western Arm Brook,1,2021,51.190752,-56.753424,57,557.1052632
