River_name__nom_de_la_rivière,Site_name__nom_du_site,Latitude__latitude,Longitude__longitude,Arrival_date__date_d_arrivée,Departure_date__date_de_départ,Time_released__date_de_libération,Operating_condition_display__affichage_état_de_fonctionnement,Rpm_arrival__rpm_arrivée,Rpm_departure__rpm_départ,Air_temp_arrival__temp_air_arrivée,Water_temp_trap_c__temp_eau_piège_c,Relative_water_level_m__niveau_d_eau_relatif_m,Species__espèces,Status__statut,Life_stage__stade_de_vie,Adipose_condition_display,Total_length__longueur_totale,Fork_length__longueur_à_la_fourche,Weight__poid,Sex__sexe,Age__âge,Age_type__âge_type,Tag_number__numéro_d_étiquette,Sample_id__numéro_d_identification_de_l_échantillon,Specimen_id__numéro_d_identification_du_spécimen
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,129.0,,,,,M00017,4113,654729
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,125.0,,,,,M00018,4113,654730
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,112.0,,,,,M00019,4113,654731
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,109.0,,,,,M00020,4113,654732
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,101.0,,,,,M00021,4113,654733
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,122.0,,,,,M00022,4113,654734
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,123.0,,,,,M00023,4113,654735
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,115.0,,,,,M00024,4113,654736
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,127.0,,,,,M00025,4113,654737
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,108.0,,,,,M00026,4113,654738
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,120.0,,,,,M00027,4113,654739
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, tagged",smolt,Present,,113.0,,,,,M00028,4113,654740
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, sampled",parr,Present,,62.0,,,,,,4113,654741
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Mortality, sampled",parr,Present,,75.0,,,,,,4113,654742
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, sampled",parr,Present,,91.0,,,,,,4113,654743
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, sampled",parr,Present,,70.0,,,,,,4113,654744
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Brown trout,"Released, sampled",,,,172.0,,,,,,4113,654745
Margaree River,Margaree-RST,46.3655,-61.07812,2022-05-06 12:18:00+00:00,2022-05-06 14:06:00+00:00,2022-05-06 14:32:00+00:00,fully operational,12.0,10.5,4.0,4.0,,Atlantic salmon,"Released, sampled",smolt,Absent,,130.0,,,,,,4113,654746
